ObjectID,PropertyID,PropertyValue,SourceID,TimeStamp
Bamako_Hotel_Shooting,peopleKilled,24,wikipedia.org,
Paris_Bombing,peopleKilled,130,wikipedia.org,
Paris_Bombing,peopleKilled,130,news.sky.com,
Paris_Bombing,peopleKilled,129,independent.co.uk,
Bamako_Hotel_Shooting,peopleKilled,27,usatoday.com,
Paris_Bombing,peopleKilled,130,usatoday.com,
Boston_Bombing,peopleKilled,3,usatoday.com,
Boston_Bombing,peopleKilled,141,usatoday.com,
Bamako_Hotel_Shooting,peopleKilled,At least 27,dailymail.co.uk,
Boston_Bombing,peopleKilled,3,dailymail.co.uk,
Paris_Bombing,peopleKilled,At least 128,cnn.com,
Paris_Bombing,peopleKilled,129,theguardian.com,
Bamako_Hotel_Shooting,peopleKilled,At least 27,news.yahoo.com,
Paris_Bombing,peopleKilled,130,news.yahoo.com,
Bamako_Hotel_Shooting,peopleKilled,27,deccanchronicle.com,
Bamako_Hotel_Shooting,peopleKilled,At least 18,breakingnews.com,
Bamako_Hotel_Shooting,hostages,More than 20,denverpost.com,
Bamako_Hotel_Shooting,hostages,100,news.com.au,
Bamako_Hotel_Shooting,peopleKilled,27,livereuters.com,
Bamako_Hotel_Shooting,hostages,170,unitedwithisrael.org,
boston_bombing,peopleKilled,2,AriiFbabyyy,4/16/2013 0:11
boston_bombing,peopleKilled,2,MahomiesAreBest,4/16/2013 0:15
boston_bombing,peopleKilled,2,JizelleeG_,4/16/2013 0:21
boston_bombing,peopleKilled,2,BobPotosky,4/16/2013 0:46
boston_bombing,peopleKilled,At least 3,TheeDCole,4/16/2013 0:54
boston_bombing,peopleKilled,40,neal101h,4/16/2013 10:42
boston_bombing,childrenKilled,26,izzathazaaard,4/16/2013 10:42
boston_bombing,peopleKilled,3,delobo,4/16/2013 0:54
boston_bombing,peopleKilled,3,AP,4/16/2013 0:54
Paris_Bombing,peopleKilled,130,wsj.com,
Paris_Bombing,peopleKilled,130,reuters.com,
Paris_Bombing,attacks,13,stuff.co.nz,
Paris_Bombing,peopleInjured,350,cnbc.com,
Boston_Bombing,peopleInjured,264,cbsnews.com,
Boston_Bombing,peopleKilled,264,boston.com,
Boston_Bombing,peopleKilled,3,telegraph.co.uk,
Boston_Bombing,peopleInjured,180,telegraph.co.uk,
Bamako_Hotel_Shooting,peopleKilled,At least 20,wtop.com,
Bamako_Hotel_Shooting,hostages,170,sputniknews.com,
Bamako_Hotel_Shooting,peopleKilled,At least 20,seattletimes.com,
Bamako_Hotel_Shooting,peopleKilled,At least 19,masslive.com,
Bamako_Hotel_Shooting,peopleKilled,At least 20,thestar.com,
Bamako_Hotel_Shooting,peopleKilled,14,massive.com,
Bamako_Hotel_Shooting,peopleKilled,At least 20,world.time.com,
Bamako_Hotel_Shooting,peopleKilled,At least 20,wowway.com,
Bamako_Hotel_Shooting,peopleKilled,At least 23,rt.com,
Bamako_Hotel_Shooting,peopleKilled,At least 20,chinadailyasia.com,
